times;sens;TSL_mean;RSL_mean;Rgage;freq;length;cfakr;cfbkr;link;gage;dist;code;company
2021-05-21 00:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 00:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 00:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 00:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 01:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 01:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 01:40:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 01:55:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 02:10:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 02:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 02:40:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 02:55:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 03:10:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 03:25:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 03:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 03:55:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 04:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 04:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 04:40:00;"523 A-B";8;-37.8;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 04:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 05:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 05:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 05:40:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 05:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 06:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 06:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 06:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 06:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 07:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 07:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 07:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 07:55:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 08:10:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 08:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 08:40:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 08:55:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 09:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 09:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 09:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 09:55:00;"523 A-B";NA;NA;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 10:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 10:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 10:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 10:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 11:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 11:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 11:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 11:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 12:10:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 12:25:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 12:40:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 12:55:00;"523 A-B";8;-38;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 13:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 13:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 13:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 13:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 14:10:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 14:25:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 14:40:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
2021-05-21 14:55:00;"523 A-B";8;-37.9;0;18;0.41;0.0781;1.0654;"10G_MPR_NDOGBONG_2 - MPR_NDOGBONG-SEVEN";"Meteo_IUT";0.511151215072792;523;"Orange"
